Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
1 Diretores e gerentes;3380638;2104671;1275967
1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo;244360;158261;86099
1.1.1 Membros superiores do poder executivo e legislativo;192932;120453;72479
1.1.1.1 Legisladores;22313;19042;3270
1.1.1.2 Dirigentes superiores da administração pública;152087;89005;63082
1.1.1.3 Chefes de pequenas populações;32;32;-
1.1.1.4 Dirigentes de organizações que apresentam um interesse especial;18501;12374;6127
1.1.2 Diretores gerais e gerentes gerais;51427;37808;13620
1.1.2.0 Diretores gerais e gerentes gerais;51427;37808;13620
1.2 Dirigentes administrativos e comerciais;861963;512264;349699
1.2.1 Dirigentes de administração e de serviços;446437;252718;193719
1.2.1.1 Dirigentes financeiros;41773;23464;18310
1.2.1.2 Dirigentes de recursos humanos;65371;26432;38939
1.2.1.3 Dirigentes de políticas e planejamento;11635;7604;4031
1.2.1.9 Dirigentes de administração e de serviços não classificados anteriormente;327658;195218;132440
1.2.2 Dirigentes de vendas, comercialização e desenvolvimento;415526;259546;155980
1.2.2.1 Dirigentes de vendas e comercialização;359127;227962;131165
1.2.2.2 Dirigentes de publicidade e relações públicas;48270;26872;21398
1.2.2.3 Dirigentes de pesquisa e desenvolvimento;8129;4712;3417
1.3 Dirigentes e gerentes de produção e operação;1102098;740937;361161
1.3.1 Dirigentes de produção agropecuária, silvicultura, aquicultura e pesca;129104;113701;15403
1.3.1.1 Dirigentes de produção agropecuária e silvicultura;127056;112019;15037
1.3.1.2 Dirigentes de produção da aquicultura e pesca;2048;1681;366
1.3.2 Dirigentes de indústria de transformação, mineração, construção e distribuição;470345;364816;105530
1.3.2.1 Dirigentes de indústria de transformação;314261;237259;77002
1.3.2.2 Dirigentes de explorações de mineração;7226;6028;1198
1.3.2.3 Dirigentes de empresas de construção;59685;50546;9140
1.3.2.4 Dirigentes de empresas de abastecimento, distribuição e afins;89173;70983;18190
1.3.3 Dirigentes de serviços de tecnologia da informação e comunicações;80834;62056;18779
1.3.3.0 Dirigentes de serviços de tecnologia da informação e comunicações;80834;62056;18779
1.3.4 Dirigentes e gerentes de serviços profissionais;421815;200365;221450
1.3.4.1 Dirigentes de serviços de cuidados infantis;6518;550;5968
1.3.4.2 Dirigentes de serviços de saúde;37178;13734;23444
1.3.4.3 Dirigentes de serviços de cuidado a pessoas idosas;657;97;559
1.3.4.4 Dirigentes de serviços de bem-estar social;1540;627;913
1.3.4.5 Dirigentes de serviços de educação;108930;27778;81152
1.3.4.6 Gerentes de sucursais de bancos, de serviços financeiros e de seguros;164019;91345;72673
1.3.4.9 Dirigentes e gerentes de serviços profissionais não classificados anteriormente;102974;66233;36740
1.4 Gerentes de hotéis, restaurantes, comércios e outros serviços;1172217;693209;479008
1.4.1 Gerentes de hotéis e restaurantes;273845;156023;117821
1.4.1.1 Gerentes de hotéis;22325;11720;10605
1.4.1.2 Gerentes de restaurantes;251519;144303;107216
1.4.2 Gerentes de comércios atacadistas e varejistas;844730;503187;341543
1.4.2.0 Gerentes de comércios atacadistas e varejistas;844730;503187;341543
1.4.3 Outros gerentes de serviços;53642;33999;19643
1.4.3.1 Gerentes de centros esportivos, de diversão e culturais;44386;28803;15584
1.4.3.9 Gerentes de serviços não classificados anteriormente;9256;5197;4060
2 Profissionais das ciências e intelectuais;8494780;3440704;5054076
2.1 Profissionais das ciências e da engenharia;709054;507315;201739
2.1.1 Físicos, químicos e afins;50118;34298;15820
2.1.1.1 Físicos e astrônomos;1274;1037;237
2.1.1.2 Meteorologistas;1180;781;398
2.1.1.3 Químicos;40672;27019;13654
2.1.1.4 Geólogos e geofísicos;6991;5461;1530
2.1.2 Matemáticos, atuários e estatísticos;3790;2337;1453
2.1.2.0 Matemáticos, atuários e estatísticos;3790;2337;1453
2.1.3 Profissionais em ciências biológicas;89324;55167;34158
2.1.3.1 Biólogos, botânicos, zoólogos e afins;39673;14662;25010
2.1.3.2 Agrônomos e afins;40040;34113;5927
2.1.3.3 Profissionais da proteção do meio ambiente;9612;6392;3220
2.1.4 Engenheiros (exclusive eletrotecnólogos);307840;256633;51207
2.1.4.1 Engenheiros industriais e de produção;24021;20205;3816
2.1.4.2 Engenheiros civis;166683;139267;27415
2.1.4.3 Engenheiros de meio ambiente;16169;10199;5970
