Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
4;Miembros del poder ejecutivo y de los cuerpos legislativos;1110;1111;;Miembros del poder legislativo;
4;Personal directivo de la administración pública;1120;1112;;Personal directivo de la administración pública;
4;Jefes de pequeñas poblaciones;1130;1113;;Jefes de pequeñas poblaciones;
4;Dirigentes y administradores de partidos políticos;1141;1114;p;Dirigentes de organizaciones que presentan un interés especial;
4;Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico;1142;1114;p;Dirigentes de organizaciones que presentan un interés especial;
4;Dirigentes y administradores de organizaciones humanitarias y de otras organizaciones  especializadas;1143;1114;p;Dirigentes de organizaciones que presentan un interés especial;
4;Directores generales y gerentes generales de empresa;1210;1120;;Directores generales y gerentes generales;
4;Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca;1221;1311;;Directores de producción agropecuaria y silvicultura;
4;Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca;1221;1312;;Directores de producción de piscicultura y pesca;
4;Directores de departamentos de producción y operaciones, industrias manufactureras;1222;1321;p;Directores de industrias manufactureras;
4;Directores de departamentos de producción y operaciones, industrias manufactureras;1222;1322;p;Directores de explotaciones de minería;
4;Directores de departamentos de producción y operaciones, construcción y obras públicas;1223;1323;p;Directores de empresas de construcción;
4;Directores de departamentos de producción y operaciones, construcción y obras públicas;1223;3123;p;Supervisores de la construcción;
;Directores de departamentos de producción y operaciones, comercio mayoristas y minoristas;1224;1420;p;Gerentes de comercios al por mayor y al por menor;
4;Directores de departamentos de producción y operaciones, restauración y hostelería;1225;1411;p;Gerentes de hoteles;
4;Directores de departamentos de producción y operaciones, restauración y hostelería;1225;1412;p;Gerentes de restaurantes;
4;Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones;1226;1324;p;Directores de empresas de abastecimiento, distribución y afines;
4;Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones;1226;1330;p;Directores de servicios de tecnología de la información y las comunicaciones;
4;Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas;1227;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
;Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas;1227;1346;;Gerentes de sucursales de bancos, de servicios financieros y de seguros;
4;Directores de departamentos de producción y operaciones, servicios de cuidados personales, limpieza y servicios similares;1228;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1213;p;Directores de políticas y planificación;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1341;p;Directores de servicios de cuidados infantiles;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1342;p;Directores de servicios de salud;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1343;p;Directores de servicios de cuidado de las personas de edad;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1344;p;Directores  de servicios de bienestar social;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1345;p;Directores de servicios de educación;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1349;p;Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;1439;p;Gerentes de servicios no clasificados bajo otros epígrafes;
4;Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes;1229;2654;p;Directores de cine, de teatro y afines;
4;Directores de departamentos financieros y administrativos;1231;1211;p;Directores financieros;
4;Directores de departamentos financieros y administrativos;1231;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Directores de departamentos de personal y de relaciones laborales;1232;1212;p;Directores de recursos humanos;
4;Directores de departamentos de ventas y comercialización;1233;1221;p;Directores de ventas y comercialización;
4;Directores de departamentos de publicidad y de relaciones públicas;1234;1222;p;Directores de publicidad y relaciones públicas;
4;Directores de departamentos de abastecimiento y distribución;1235;1324;p;Directores de empresas de abastecimiento, distribución y afines;
4;Directores de departamentos de servicios de informática;1236;1330;p;Directores de servicios de tecnología de la información y las comunicaciones;
4;Directores de departamentos de investigaciones y desarrollo;1237;1223;p;Directores de investigación y desarrollo;
4;Otros directores de departamentos, no clasificados bajo otros epígrafes;1239;1213;p;Directores de políticas y planificación;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6111;p;Agricultores y trabajadores calificados de cultivos extensivos;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6112;p;Agricultores y trabajadores calificados de plantaciones de árboles y arbustos;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6113;p;Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6114;p;Agricultores y trabajadores calificados de cultivos mixtos;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6121;p;Criadores de ganado;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6122;p;Avicultores y trabajadores calificados de la avicultura;
4;Gerentes de empresas de agricultura, caza, silvicultura y pesca;1311;6130;p;Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado;
4;Gerentes de industrias manufactureras;1312;1321;p;Directores de industrias manufactureras;
4;Gerentes de industrias manufactureras;1312;1322;p;Directores de explotaciones de minería;
4;Gerentes de empresas de construcción y obras públicas;1313;1323;p;Directores de empresas de construcción;
4;Gerentes de comercios mayoristas y minoristas;1314;1420;p;Gerentes de comercios al por mayor y al por menor;
4;Gerentes de comercios mayoristas y minoristas;1314;5221;;Comerciantes de tiendas;
4;Gerentes de empresas de restauración y hostelería;1315;1411;p;Gerentes de hoteles;
4;Gerentes de empresas de restauración y hostelería;1315;1412;p;Gerentes de restaurantes;
4;Gerentes de empresas de transporte, almacenamiento y comunicaciones;1316;1324;p;Directores de empresas de abastecimiento, distribución y afines;
4;Gerentes de empresas de transporte, almacenamiento y comunicaciones;1316;1330;p;Directores de servicios de tecnología de la información y las comunicaciones;
5;Gerentes de empresas de intermediación y servicios a empresas;1317;1211;p;Directores financieros;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1212;p;Directores de recursos humanos;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1219;p;Directores de administración y servicios no clasificados bajo otros epígrafes;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1221;p;Directores de ventas y comercialización;
4;Gerentes de empresas de intermediación y servicios a empresas;1317;1222;p;Directores de publicidad y relaciones públicas;
