Id,Mulheres,OBITOS C50,TAXA POR 100 MIL,Descrição grupo
1.0,3270.0,1.0,30.581039755351682,Legisladores
2.0,470698.0,39.0,8.285567391405955,Professores de universidades e do ensino superior; Professores de formação profissional; Professores do ensino médio
3.0,1124533.0,152.0,13.516722052620956,Gerentes de comércios atacadistas e varejistas; Comerciantes de lojas
4.0,117821.0,1.0,0.8487451303248148,Gerentes de hotéis; Gerentes de restaurantes
5.0,433704.0,6.0,1.383432018150628,"Dirigentes financeiros; Dirigentes de recursos humanos; Dirigentes de administração e de serviços não classificados anteriormente; Dirigentes de vendas e comercialização; Dirigentes de publicidade e relações públicas; Dirigentes de serviços de tecnologia da informação e comunicações; Gerentes de sucursais de bancos, de serviços financeiros e de seguros"
6.0,13306.0,8.0,60.12325266796933,Engenheiros industriais e de produção; Engenheiros de meio ambiente; Engenheiros não classificados anteriormente
7.0,594334.0,69.0,11.609633640343645,Contadores; Assessores financeiros e em investimentos; Analistas financeiros; Analistas de gestão e administração; Especialistas em políticas de administração; Profissionais da publicidade e da comercialização; Profissionais de relações públicas; Organizadores de conferências e eventos; Agentes de serviços comerciais não classificados anteriormente; Trabalhadores de agências de viagem
8.0,28230.0,4.0,14.169323414806943,"Biólogos, botânicos, zoólogos e afins; Profissionais da proteção do meio ambiente"
9.0,1411.0,1.0,70.87172218284904,"Filósofos, historiadores e especialistas em ciência política"
10.0,99517.0,3.0,3.014560326376398,Inspetores de polícia e detetives; Profissionais de nível médio do direito e serviços legais e afins
11.0,1453.0,1.0,68.82312456985548,"Matemáticos, atuários e estatísticos"
12.0,65441.0,2.0,3.0561880166867863,Analistas de sistemas; Desenvolvedores de programas e aplicativos (software); Desenvolvedores de páginas de internet (web) e multimídia; Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente; Desenhistas e administradores de bases de dados; Administradores de sistemas; Profissionais em rede de computadores; Especialistas em base de dados e em redes de computadores não classificados anteriormente
13.0,82609.0,6.0,7.263131135832658,Químicos; Farmacêuticos
14.0,50002.0,9.0,17.999280028798847,Arquitetos de edificações; Arquitetos paisagistas; Urbanistas e engenheiros de trânsito
15.0,27415.0,6.0,21.885828925770564,Engenheiros civis
16.0,2810.0,1.0,35.587188612099645,Engenheiros eletricistas
17.0,6005.0,1.0,16.65278934221482,Engenheiros químicos
18.0,5927.0,1.0,16.871941960519656,Agrônomos e afins
19.0,123789.0,15.0,12.117393306351937,Dentistas
20.0,20843.0,5.0,23.988869164707577,Veterinários
21.0,654630.0,176.0,26.88541618929777,Dirigentes de serviços de saúde; Dirigentes de serviços de cuidado a pessoas idosas; Profissionais de enfermagem; Profissionais de partos; Profissionais de nível médio de enfermagem; Profissionais de nível médio de partos
22.0,113627.0,22.0,19.361595395460586,"Profissionais da saúde e da higiene laboral e ambiental; Profissionais da saúde não classificados anteriormente; Especialistas em políticas e serviços de pessoal e afins; Especialistas em formação de pessoal; Inspetores de saúde laboral, ambiental e afins"
23.0,548713.0,97.0,17.67772952344851,Professores do ensino pré-escolar
24.0,1220858.0,2.0,0.16381921566635924,Professores do ensino fundamental
25.0,251156.0,39.0,15.528197614231793,Especialistas em métodos pedagógicos
26.0,257063.0,59.0,22.951572182694516,Advogados e juristas
27.0,5889.0,3.0,50.94243504839532,Profissionais em direito não classificados anteriormente
28.0,2770.0,5.0,180.50541516245488,"Sociólogos, antropólogos e afins"
29.0,12937.0,12.0,92.75720800803894,Economistas
30.0,116490.0,18.0,15.451970126191089,Psicólogos
31.0,120193.0,25.0,20.79988019269009,Assistentes sociais
32.0,3991399.0,207.0,5.186151522310849,"Técnicos em documentação sanitária; Supervisores de secretaria; Secretários jurídicos; Secretários executivos e administrativos; Secretários de medicina; Escriturários gerais; Secretários (geral); Operadores de máquinas de processamento de texto e mecanógrafos; Trabalhadores de centrais de atendimento; Telefonistas; Recepcionistas de hotéis; Trabalhadores dos serviços de informações; Recepcionistas em geral; Entrevistadores de pesquisas de mercado; Trabalhadores de serviços de informação ao cliente não classificados anteriormente; Trabalhadores de contabilidade e cálculo de custos; Trabalhadores de serviços estatísticos, financeiros e de seguros; Trabalhadores encarregados de folha de pagamento; Trabalhadores de controle de abastecimento e estoques; Trabalhadores de serviços de apoio à produção; Trabalhadores de serviços de transporte; Trabalhadores de serviços de correios; Codificadores de dados, revisores de provas de impressão e afins; Trabalhadores do serviço de pessoal; Trabalhadores de apoio administrativo não classificados anteriormente"
33.0,50078.0,15.0,29.953272894284915,Escritores; Jornalistas
34.0,31875.0,6.0,18.823529411764707,"Bibliotecários, documentaristas e afins"
35.0,778.0,3.0,385.60411311053986,Arquivologistas e curadores de museus
36.0,8944.0,2.0,22.361359570661897,"Tradutores, intérpretes e linguistas"
37.0,43444.0,5.0,11.509069146487432,Fotógrafos; Técnicos de radiodifusão e gravação audiovisual; Técnicos de engenharia de telecomunicações
38.0,10366.0,9.0,86.82230368512444,"Diretores de cinema, de teatro e afins; Atores"
39.0,154932.0,2.0,1.290888906100741,Artistas plásticos
40.0,13035.0,1.0,7.671653241273495,"Músicos, cantores e compositores"
